舟山堂诗词稿目录　(1979.4─2020.8)
------------------------------------------------------------
(2) 五律•春游鳝溪　二首　　　　　　　　1979．⒋
会师会友会意会心再会风雲共祝前程锦绣两岸会联五洲。

　　　　水調歌頭·中秋·步東坡原韻 (2010.9)
明月賞心否？轉眼已昨天。應知宇宙瓊閣，一夕逝千年。遙想東坡風采，詞曲流傳世代，詩酒可勝寒。好夢留仙境，小醉在人間。　　若思念，若鄉愁，枕無眠。一年似短、萬事能有幾回圓？福亦禍所伏時，禍亦福所倚之，心底自求全。能享其中樂，何須待嬋娟。
　　　　又
明月本常有，何必問青天？自從天上宮闕，悠悠已千年。但想仙臺瓊露，又怕空虛無助，獨處方知寒。塵世多牽挂，碌碌在凡間。　　數辰歲，翻往事，更難眠。個中難免、煩惱多過月無圓。苦後方知甜蜜，分別才惜相聚，再也不求全。似此能長樂，今夜共嬋娟。
　　　　千年以來，此曲無能出東坡右者，莫若戲之。
月餅何時有？新鮮不新鮮？不知今年貨色，能值多少圓？本想自制一盒，又恐油放太多，一點兒不省錢。棗泥和豆沙，哪个會更甜？　　五仁餡兒，火腿月，勾饞涎。不应有悔，一年才吃这一天！人有高矮肥瘦，月有丰满苗條，萬事難兩全。但愿節常有，天天都過年。
　　　　附周琳：水調歌頭·中秋二首
　　　　水煮魚頭·兼答舟山原詞 (2010.9)
明月幾時有，沒什麽相干。今天要做月餅，只爲解解饞。但想試試棗泥，又要扒皮去核兒，實在太痲煩。發面烙大餅，一樣吃的歡。　　炒個菜，下點兒酒，賽過年。不需有肉，健康飲食醋少鹽。家有鍋碗瓢盆，桌上八筷六碟兒，幸福我占全。佳節又壽辰，喜慶不一般。
　　　　加班随想 (2011.9)
中秋西雅图，夜半月儿圆。不知不觉之间，转眼又一年。本想轻松度日，奈何家庭负担，还得多挣钱。加班再上学，毕业苦变甜。　　减预算，增次贷，少美元。不该抱怨，命苦当上公务员。只羡嫦娥吴刚，忘却人间凡事，桂宫两相欢。但愿长相伴，情爱永绵绵。

　　　　水調歌頭·雅安 (2014.04.16)
　　　　春四月，自綿陽過平樂鎮、入上里，至雅安，隨建峰、瑶、琳并其同學舊友燕華共餐，复返青衣江畔品茶觀夜景，暢談而别。
四月古茶道，十里菜花田。深山水潤村寨，橋下碧溪漣。青瓦青磚石鼓，金字金絲楠木，雕坊捲飛檐。綠氧森森海，鷺鳥在雲間。　　雅雨绵，雅女倩，雅魚鮮。酒香鹵腊，麻團脆餅米糕黏。白藕白湯鴨骨，紅笋紅油豆腐，小宴賽新年。待客砂鍋煲，品茗夜江邊。

　　　　水調歌頭·皖南行 (2016.05.22)
　　　　春五月，自京高鐵南下入徽。三日内隨毅敏駆車過黄山、屯溪、黟县、北返銅陵市。畅游之暇，特與琳填詞以記之。
农宿蛙声里，雾岭玉溪田。木坑竹海村落，碧水小橋邊。白壁雕紋黛瓦，竖坊高牆似馬，日月壶中悬。深巷舒微舍，方井夜星天。　　河豚肥，魤魚嫩，鱖魚鮮。石雞石耳雙味，腊肉炖笋尖。香笼粉蒸排骨，烤盘油煎豆腐，燒饼芡糕甜。米酒與新茶，情義在其間。

　　　　水調歌頭·嫦娥五号　2020.12.18
　　　　其一　
千年飞月梦，十载赋星河。嫦娥玉兔着陆，漫步采石车，不见蟾蜍宫阙，敢想时空穿越，桂殿影婆娑。四海涛声起，浩宇响雲歌。　　养韬略，谋远策，揽长波。重工科技，一部精器萬重磨。古老相传神话，壮丽和平图画，盛世舞婀娜。九霄鲲鹏志，不负岁蹉跎。
　　　　其二　和毛词原韵
古有冰轮梦，今探火岩山。萬里登临桂殿，一举展新颜。独领漂空妙舞，再启航征阔步，存想寄雲端。不忘披荆路，当记向前觀。【看】　　潮之动，心之奋，宇之寰。兴废存亡进退，正反得失间。上溯银河揽月，下蹈潭泥鱼鳖， 天道好相还。科技非常事，勇在苦登攀。

　　　　沁園春·重懷周公·和毛詞原韻 (2011.01.08)
久逝容光，歲月塵封，思念遠飄。記當年國喪，陰雲翳翳；人民心碎，淚雨滔滔。萬業親躬，先憂後已，誰比周公品質高？一生夢，為中華崛起，富裕妖嬈。　　山河自古多嬌，是烈士拋顱與折腰。想伍毫學社，初揚文采；南昌黃埔，盡顯風騷。外交和談，蜚聲宇內，政治功夫巧射雕。多少代，留傳奇故事，遺唱今朝。

　　　　金缕曲·中秋寄周琳 (1999.9)
去似光阴箭。数归期、孤然客里，暗中参遍。秋水重叠深与浅，谁振凌霄翼展？看不见、一行书雁。望尽天晴连海岸，要晴天为我飞鸿遣。千万里，白雲倩。　　日来落叶堆成柬。对苍穹、一样景色，两相思念。漫撒冰壶全世界，共享琼楼玉殿。但离别、何时能免？古有兹盟今朝月，愿生生爱到無极限。吾与汝，光和电。

　　　　金缕曲·中秋书怀 (1999.9)
唱和人长久。念佳期、思乡万里，问达亲友。飘落异邦闲暇客，不忘时局战守。是君子、刀兵从口。披纵高谈天下事，论英雄、当世谁敌手？何必煮，涂炭酒！不识此月何年有。但明年、几家聚散，月圆能否？自古乾坤多沉重，争要虚名不朽。演一曲、悲凉宇宙。赌注国家一筹码，到头来、苦了人民瘦！真伟业，退而後。

　　　　賀新涼·小別【今韻·略取稼軒句】 (2014.03.26. Redmond)
望斷天如墨。讓絲絲，離情化雨，別愁飄落。此去東行冰雪地，冷暖剎時交錯。祗留下、淒清蕭索。不恨相思天氣惡，恨相思天氣無顏色。遠有念，最難舍。　　胸中自比豪狂客。倩詩心、長歌一曲，視空寬闊。記得曾經溫存語，秒秒分分數過。重聚後，履約成諾。非羨人生多歡樂，知歡樂唯共你和我。俩擁坐，看雲朵。

　　　　賀新涼·看雲【今韻】 (2014.03.27)
蔚海空凝目。仰天河，雲舒雲卷，似煙如霧。透徹深邃藍無底，伸手清涼可觸。微細覺、絲絲雨沐。難信俗身仍朽立，霎時間、心在高穹處。眼欲眩，身臨瀑。　　西城小住年十數。往来回，月升日落，歷經朝暮。碌碌晨光都看過，別樣今春風物。隨境轉、重溫感悟。暖照影中花偎樹，化相思、眼里動明楚。一葉草，有瑩露。

　　　　拜星月慢·星海公园 (1984.8)
雨後松山，寒雲微渡，空翠霜天碧树。柳径鸣幽，被苔石凝露。落英处。慢舞。低香暗浸枝软，冷影轻挪羞步。思绪無声，隔风林凄诉。　　渐黄昏，浪履平沙入。都输与、烟霭晴红暮。雪嶂断壁排空，叩灵壶仙府。欲龙潜，洞锁重重户。三石在、日月经天古。彩雲路，细认星帆，唱夕阳别赋。

　　　　望海潮·旅顺口怀古 (1984.8)
东港门户，军防前哨，险关掩扼平湖。风浪不兴，金山拱立，新晴碧海藏珠。雲路翠屏舒。更天低北府，人物不俗。暖气移来，柳烟拖绿杏花疏。　　凭高未忘当初。有残碑字迹，古塔遗图。碉垒废台，铁蹄踏破，一时烽火焦途。武运霸军夫。恨中原失鹿，弦管闻胡。梅雨浮沉，声声潮打忆皇姑。

　　　　望海潮·珊瑚海岸 (2010.2)
天藍藍透，水如湖色，蔚波白浪銀沙。雲淡淡飛，椰風似醉，輕拂綠影紅花。遠島玉珠遐。望珊瑚海岸，婉轉疊嘉。櫚港棕灣，草亭閑坐待夕霞。　　佳節不必繁華。羡山村麗景，世外人家。魚蟹鮮肥，蚌蛤味美，青青舞爪龍蝦。迎客有胡茶。更奇珍異果，熱帶番瓜。斐濟歸來，珍藏回憶久堪誇。
　　　　又（与琳儿联句）
天珠遗落，南洋仙岛，远客到此如家。苏瓦首都，楠迪湾港，珊瑚岸曲無涯。椰绿画银沙。有自然村落，歌舞娇娃。热带林园，巨人山下看兰花。　　游玩不忘休暇。坐凉台趁晚，啤酒一扎。红炖海参，椒盐大虾，石斑鼓暴鱼牙。西米配木瓜。会「金枪」、蟹将，铁板锅巴。一日三餐秀色，尽享好年华。【金枪：海鱼也，頭形似長槍。】

　　　　望海潮·新西蘭 (2019.12)
　　　　其一　印象
天堂之右，南極之上，孤懸澳外平洋。湖海碧藍，山林翠綠，險灘灣急風強。岩裂出青岡。有湍流雨瀑，地熱泉湯。雪嶺遙遙，漸融冰線下溪江。　　人煙俯瞰蒼茫。向牛羊村落，長白雲鄉。魚米果蔬，蜂膠蜜酪，蝦蠔鮑蟹紅姜。秀麗攬晴光。染鮮花路陌，點點金黃。更待星繁夜燦，逆旅送斜陽。
　　　　其二　風光
峽灣成島，熔漿沖嶼，明珠遺落天南。破霧雨林，穿雲雪脈，碧湖圍抱森巒。千頁書層岩。有青石秀瀑，虎踞龍盤。棋佈星羅，氣蒸間歇熱溪泉。　　粼波萬頃孤帆。守一隅偏世，海外桃源。奇異果甜，醇香蜜貴，糧倉漁牧田園。坡上草綿綿。看紅裙袖舞，風動冰川。壹樹壹山壹路，壹片野花繁。

　　　　六洲歌头·夕阳西下 (1982.9)
雄天望断，雲暗莽如山。斜晖照，惊鸿影，漫天蓝。落红残。万里横雲聚，流金碎，征尘乱；又恰似，寒崖雪，映酡颜。村舍炊烟，灯火三四点，疑是人寰。更夕阳欲去，青雾远腾山，狼籍如棉。共盘餐。　　访林和靖，孤山下，寻竹友，问坡仙。几曾见，夕阳好，对危栏。酒微酣。回想凭生志，空怀恨，叹当年。佳景短，人易老，怕灰髯。疏淡一轮新月，邀相饮，未醉先贪。羡西霞如画，欲踏浪银帆，追逐天边。

　　　　右录词曲九十六首
　　　　纱糸轩藏




　　新韵文诗六首

　　　　雪 (1989.12)
　　　　已巳年冬清晨，於北京郊外道中

　　　　这里初降一场小雪，
　　　　　　就在你离去之後。
　　　　是你留下的清新，
　　　　　　还是又把温暖带走？
　　
　　　　踏着無边的雪野，
　　　　　　又是一个人寂寞漫游。
　　　　四下里沉睡的宁静。
　　　　　　怎奈是独自占有！

　　　　满目铺砌着琼玉，
　　　　　　思绪在胸中渗透。
　　　　晶莹拥裹的世界，
　　　　　　想你温柔的手。


　　　　你和雨 (2002.3)

　　　　窗外淅淅沥沥，
　　　　满目绿色迷离——湖水涟漪。
　　　　草间听虫鸣，
　　　　林深野径稀。
　　　　春山烟洗翠涤。
　　　　若不是雨，万物哪得，
　　　　如此清丽？

　　　　凭栏难以忘机，
　　　　费尽多少情思——遥遥無期。
　　　　闲坐看雲起，
　　　　天边鸟飞急。
　　　　匆匆已过往昔。
　　　　若不是你，生命何时，
　　　　曾有意义？


　　　　Ni Sa Moce Fiji　(2010.02.25. Denarau, Fiji)

　　　　Family reunion is a good idea
　　　　Coming to Fiji on Chinese New Year
　　　　From the continents of America and China
　　　　To the skyline blue and clear

　　　　It is the islands of bula
　　　　It is a holiday resort frontier
　　　　It is the paradise in gold and aqua
　　　　It is a getaway of no fear

　　　　You may not enjoy drinking kava
　　　　You would like Fiji Bitter, the beer
　　　　And the biggest cup of icy mocha
　　　　Can only be found tasty here

　　　　Seafood, coconut, and guava
　　　　Freshest tropical feast to cheer
　　　　On the beach, under the umbra
　　　　The time has rested too, my dear


　　　　Fall Colors　(2010.10.30. Redmond, WA)

　　　　The fall colors are still here
　　　　For the harvest of the year
　　　　Take your time to enjoy, and cheer
　　　　Since it will soon disappear

　　　　This winter may come severe
　　　　Like tough weather in a career
　　　　But there's always hope and fear
　　　　To find the moment to endear


　　　　晨跑 (2011.01.29)

　　　　凍雨沖刷著街道，
　　　　讓我沖進妳的懷抱；
　　　　靠著最近的心跳，
　　　　是我跋涉的長跑……


　　　　春天 (2017.10.12)

　　　　時間是穿過樹葉的空間，
　　　　春天是埋在夢裏的明天。
　　　　黑夜的遐思無邊，
　　　　想起是妳的容顏。


　　　　附：愛之歌　2010.12.27. by 周琳
　　
　　　　你坐在我的身边，不言不语
　　　　爱，有时就是这样，无声无息
　　　　我以为你的心，像个风筝
　　　　想飞，飞到天际
　　　　而你的线，仍在我的手里
　　　　你却说，
　　　　其实你是线
　　　　风筝是我的情意
　　　　前世今生的我
　　　　是你的唯一

　　　　English version

　　　　You are by my side, quietly
　　　　Love could be like this, silently
　　　　I imagine the heart of thee
　　　　Like a kite on free
　　　　Flying to where I cannot see
　　　　And I hold the line, firmly
　　　　But you say to me
　　　　That I am the kite likely
　　　　by your care mildly
　　　　Because you love me, and
　　　　I am the one the only

　　　　附：情人节诗一首　2011.02.14. by 周琳

　　　　無所謂人生是不是無奈
　　　　不去想如何來把幸福晒
　　　　不在乎當時沒有天地拜
　　　　日子，過好才實實在在
　　　　爲你，我寧願忙裏忙外
　　　　因爲，你是我的───
　　　　　　Valentine

　　　　English version: Happy Valentine's Day

        Sometimes life could be rough and divine
        Sometimes love could be hard to define
        From the day I met you
        I know my destiny finally had a good sign
        Like a kite at skyline
        No matter how far I fly
        You are always there and give me guideline

        So many years have gone by
        I am so glad you are still mine
        Spending the rest of my life
        With you, sounds so fine
        That is all I want, dear love
        Because you are my valentine




　　七言古诗十七首

　　　　江南感赋 (1982.10)
百無一水旧相识，别有千山开生面。湖滨新雨湿迷雾，凭笔栽花成诗卷。

　　　　春思 (1982.10)
無边雲水翠屏中，有怀霜雪映古松。异国星月家乡梦，他山亭台故土风。

　　　　闽浪残昏 (1982.10)
东流碧水千花湿，南起雲山百岭低。归去夕阳风帆尽，疏忽桂阴月影移。

　　　　寄书友人题後 (1985.1)
日废书稿走蛇弓，时闻门户穿冬风。一字推移笔底入，欲凝真情寄其中。取尽腹内半点墨，难说胸中寸意浓。莫问千里文字浅，窗下亦费思忖功。

　　　　清明 (1985.1)
清明雨雪犯中华，岂知风雲冷万家，恸哭九州俱缟素，冲天一恨湿臂纱。大名敞开千心动，泪痕说处堪嗟夸，山摇路移沉古迹，终是青史浪淘沙。
　　　　其二
一篇泪词读几行，哭咏血心胜诗章，重比泰山星陨落，岂容冥府话短长。

　　　　黄山抒怀 (1985.8)
松石常写诗意新，敢向绝壁脱俗尘。背负苍山夸送客，手托雲水忆迎宾。林泉幽藏洞天府，草木漫舞风月襟。不是神仙爱晓雾，从来山水胜诗吟。

　　　　黄山题咏　三首 (1985.8)
　　　　仙人背宝
黄山峰石画万千，仙人背宝履雲烟。天尊寂寞留古像，美谈流去问松年。
　　　　猴子观海
夕照海雲平浪红，高崖雾洗古苍松。万年寿石临风晚，千客夸口话诗公。
　　　　梦笔生花
未敢凭句称诗家，攀身借毫抹雲霞。谪仙手中遗梦笔，石颖峰上欲生花。

　　　　七言·柏梁體·秋韻 (2006.10)
歲歲秋風掃此門，年年落紅堆玉盆。借此一縷葬花魂，登高望遠憶故人。

　　　　七言·记梦 (2006.12)
　　　　——冬月夜断电，与妻笑醒说梦里事，化为打油以记。
惊闻飓风掠此地，参天大树连根起。一夜断电数十哩，回到黑暗古世纪。無书無灯伴孤寂，缺网缺乐难游戏。冰床冻窟昏睡时，奇情怪想入梦里。找个工作看监狱，太太开车送我去。每天先到诺曼底，游泳横渡英吉利。白鞋上色用黑漆，做事無功费力气。醒後难料人间事，如此奇谭实有趣。

　　　　七言·讽言·揭秘西北中文政治腐败 (2007.6)
西北中文董事会，奇谈怪想费思量。两朝失误吃亏损，万般遮瞒把祸藏。既惹是非急转嫁，欲加之罪愈荒唐。谎言百炼成真谛，诡道千层做伪装。寡耻恬居宪代表，厚黑攀比古帝皇。绵绵袖手推其任，屡屡插足显势强。曲解章程钻漏洞，借题民主自视长。出则反尔朝夕改，恶果吞食日夜慌。不远余毒文革事，於今又见四人帮。兴风作浪翻雲雨，指鹿骂槐拼智商。功利极能泯常理，权名甚可丧天良。穷添舆论来迷众，企盼阴谋未曝光。怯懦丛中生泼赖，迟疑时下养流氓。宽怀尚且招污水，放眼妄寻明白郎。莫怪男儿意气短，怎禁女辈志如钢。岂知沥血多年苦，难抵饶舌半寸长。前鉴谁曾听分诉，後师错在哪一方？若無嫉妒形惭愧，安有狭促报复狂？些小盘沙争与斗，奈何看众恨而伤！心存世上公平秤，笃信人间正义张！

　　　　七言·串烧网络流行语 (2009.1)
　　借名什锦八宝饭，专指中央粉丝团。①
　　本土草根迷万众，全民山寨竖千帆。②
　　天真很傻很暴力，虚拟宅女宅门男。③
　　余震逃来美忠范，俯卧撑出是非端。④
　　做人不能太無耻，艳照或可没有钱？⑤
　　我望槑形叹痴样，君观囧字想愁颜。⑥
　　画面画皮画老虎，雷人雷世雷网坛。⑦
　　年终盘点流行语，一壶酱油永流传。⑧
典注：
①上句：以糯米甜食品名的一个群体统称——胡锦涛主席和温家宝总理的粉丝团。“粉丝”/“饭”：fan(s)谐音。
②上句：“草根”直译自英文 "grass roots"，一指同政府或决策者相对的势力；或指同主流、精英文化或精英阶层相对应的弱势阶层。
　下句：“山寨”源於广东话，一种由民间仿造产业现象，以极低成本模仿主流品牌产品，并有所创新和超越。
③上句：“艳照门”当事人之一阿娇：“……我以前很傻很天真，但现在已经长大啦！”。另一来源自採訪的中小學生：「上次我查資料，突然蹦出一個窗口，很黃很暴力……」。
　下句：“宅女”“宅男”泛指不愿出门和步入社会，在网络虚拟世界寻找舞台。
④上句：都江堰教师范美忠详述在地震中弃学生而逃的经历，得名“范跑跑”。
　下句：专有名词“俯卧撑”一度被网友引用暗指某某的言词背後有不可告人的行为。
⑤上句：陈凯歌看到胡戈《一个馒头引发的血案》对其电影《無极》的讽刺之後大发雷霆，怒骂“人不能無耻到这样的地步”。此语立刻演变成“做人不能太陈凯歌”，同时大量“馒头”术语应运而生。
　下句：港星陈冠希上千张和其他女艺人的不雅图片外泄，因称“艳照门”事件。
⑥上句：“囧”（音窘）的原义光明。因字形象一张八字眉的哭丧脸，网友赋予其新的含义“郁闷、無奈、伤心”。
　下句：继“囧”之後，由两个“呆”组成的“槑”（音梅）字在网络语言里被用来形容人很天真、很傻、呆到家了。
　附注：“槑”是古文的“梅”字。
⑦上句：二零零八年新版《画皮》上映。另，陕西省公安机关调查证实周正龙拍摄的“华南虎”照片是用老虎画拍摄的假虎照。
　下句：“雷”在现代的网络语言中，可以理解为惊吓，被雷到就是被吓到，脑子里忽然轰的一声，感觉像被雷劈过一样，也可简单表达令人吃惊的程度。
⑧下句：广州电视台在街头随机采访市民，“请问你对「艳照门」有什么看法？”某男性受访者从容应答：“关我什么事，我出来打酱油的。”之後人们常常将此“酱油”搭配一句著名的广告词：“钻石恒久远，一颗永流传”。

　　　　七言·咏时事 (2009.1)
　　如今最怕读新闻，千奇百怪枉伤神。
　　非我生活酱油醋，关卿何事艳照门。
　　闲言易织八卦网，当局难抽世外身。
　　江湖自有黑白话，与时俱进学语文。
　　附注：近年研习七律，弃古诗而不作，宁缺而勿滥。早岁七古之作，随吟随忘，多废而不存。岂知今渐博客网络之风，得此一隅之地，所谓有感而发，游戏之文字耳。

　　　　七言·雨中思 (2010.01.20)
紛紛細雨擾情思，化作細雨一絲絲。萬般心事我不識，錯疑心下是矜持。情人眼里出西施，西施眼里我最癡。無限情懷無數詩，只在不知不覺時。

　　　　七言·夢中夢 (2010.10.10)
窗外寂聲猶夜半，朦朧記得思緒慢。夢裏忽回前夢影，方知前夢似虛幻。

　　　　七言·记梦 (2020.12)
惶惶疫情恐惧深，居家困坐倒昏晨。忙中来到购物场，未下车时已懵神。垢面蓬头相视怔，棉衣睡裤犹在身。捧腹大笑囫囵醒，方见南柯梦是真。




　　七言律絕二十八首

　　　　七律·流言 (2007.5)
十年盛誉创维艰，一夜诬雲造万千。非女非男舌暗箭，不三不四口狂言。机关算尽频生妒，谎言流长苦撑圆。罔见庭前如泼妇，安知平日似淑贤。蛮缠胡搅兴而乱，阴唱阳和盖以偏。曾有私心私逐利，本無自重自失颜。撕开表相识迷雾，冲出凡尘洗瘴烟。几历风霜真义在，但经磨炼志弥坚。

　　　　七律 (2007.06.18　岁在丁亥五月四日於西雅图)
海外华人赤子吟，英才教育故乡音。雪峰山下开学院，绿树湖边点翰林。传统精神追胜古，时新品格汇於今。能集百策成良策，再聚一心献爱心。同济惺惺惜慧智，直言坦坦对胸襟。启迪思想明如月，领读书声语似琴。千选师资德望众，十年经验试真金。中文从此非难事，汉字课堂创又新！

　　　　七律·中秋月孤懸海外兼詠嬋娟同韻二題 (2008.9)
　　　　一
晴雲艷靄浴新晨，金玉銀盤看似真。故國彼時達親友，外鄉昨夜望空塵。
易成浮海流浪客，難忘江湖老病身。歲歲佳期誰共賞，年年企盼月歸人。
　　　　二
一輪滿玉向新晨，翠宇瓊樓亦幻真。看破凡間如戀土，望穿星界若浮塵。
今夕過客遽成夢，昨日紅顔已忘身。值此佳期誰與我，千年等待月中人。

　　　　七律·加勒比遊記 (2008.12)
贏得幾日賦清閒，遠外藏身碧水邊。細細銀沙加勒比，邈邈綠島海雲天。岸拍碎浪逐千尺，魚戲飛鷗繞兩舷。深地溫泉蒸氣霧，茫山熱帶雨林煙。泛舟漁火椰風晚，蕩槳熒光月色翩。四季常青瓜果潤，三餐必備菜蔬鮮。迎來旭日晨星落，看盡夕陽好夢圓。此去曾留過客影，歸來賞雪入新年。

　　　　七律·雪花 (2008.12)
我借鵝毛下九重，萬千姊妹喜相從。連綿晝夜堆三尺，寂寞方圓鎖一冬。
擾擾紛紛飄入巷，徐徐綴綴落成鬆。不辭裝點冰涼界，只為湖山愛玉容。
　　　　附：恒星博客《雪》──偶訪詩壇，忽遇佳作，因奉和
誰駕長龍越九重，幹雲垂地夜相從。日推北海移三尺，倏結南河寂一冬。靜靜柔柔潛入巷，潇潇灑灑塑蒼松。春來寒盡觀三界，洗卻塵囂更從容。

　　　　七律·己丑中秋同韻二首 (2009.9)
　　　　一
漁舟待晚日西遲，秋露相逢桂殿枝。遠處遠山山遠處，圓時圓月月圓時。彩雲踏去瓊臺路，玉兔追來舊夢詩。飄落浮蓬遊子意，思鄉佳景我因知。
　　　　二
中秋月色映清池，玉殿金風樹影枝。四海停杯邀萬里，普天舉酒祝一時。人間故事誠如夢，秋興情懷總是詩。歲歲團圓能共有，年年信守此相知。

　　　　七律·寒雨 (2011.1)
夜來雨急碎屋檐，濤漫階前似水簾。枕上驚魂多擾夢，醒時輾轉恨無眠。人生波浪經千哩，宦海浮沉看兩舷。末世風狂疑有路，個中道理苦參研。
　　　　又
愁困三月西雅圖，隂晴氣候去來疏。空街寂寂寒冬似，人影稀稀僻世如。恣意碎窗冰凍雨，隨心擁被懶翻書。陋宅料峭春風過，倦枕欲眠韶華除。

　　　　附周琳應答一首：喜雨星巴克
晨雨來訪西雅圖，光瑩華麗撒晶珠。紅楓枝染春將近，綠草芽生又復蘇。不遠小樓水塘處，悠藏天鵝白羽鳧。餘暇盡享窗前景，何必人生嘆沉浮。

　　　　七律·題四川豆花莊 (2011.2)
新歲重臨川府味，今春三入豆花莊。聚會東岸五湖客，堪比西城四季香。
水煮魚鮮回鍋肉，幹煸麻辣蔥爆羊。遠離鬧市藏深巷，近坐家常好食堂。

　　　　七律·反思（普韻） (2011.2)
腹謗牢騷長聚氣，胸存鬱悶久成結。從來百病多從怨，自古千愁枉自邪。徒有高風情孤僻，因無大愛性偏缺。不得亂世一心靜，何必人生萬事諧？

　　　　七律·看山三首·国家公园遊記 (2012.6)
　　　　其一·夏雲
人間非是羨風華，神仙也愛臥棉花。忽如戰陣忽成隊，时似魚鱗时作纱。
望極山緣連雪綫，雲生起處有天涯。聚來浩氣飛晨雾，散去夕阳衬晚霞。
　　　　其二·詠岩
蒼岩堪歷冰河雪，空谷曾經快哉風。似真成形多故事，如神比物少雷同。史前記憶丹霞里，奇景搜羅地貌中。億歲時間多等待，千年陸海有相逢。黃昏月色初晴好，仲夏晨光迷霧濃。墨墨紅雲留晚照，蒸蒸旭日換新穹。心余奔想生濤浪，志有崇巒向勁松。回望群山盡覺小，豪情已在最高峰。
　　　　其三·遊俠
曾聞故事説西部，今夏得閑走塞疆。千里馳行猶他省，三州掠影過車窗。平峡地岸尋美廈，死馬臺前聚魂傷。精緻拱門追落日，惡魔花園待朝陽。自然橋跨橫溝塹，鵝頸澗流曲水蒼。紀念豐碑墻外望，傳奇眾神谷中藏。墨西哥帽標名鎮，圣胡安河入野鄉。高嶺脊邊險峻止，大峽谷側膽氣張。羚羊洞靜金沙落，馬蹄灣深碧波揚。浪紋岩生時空幻，格林壩涌海湖航。布萊斯谷迷宫暗，石化森林階梯長。紅土堆成兵俑陣，青松揜映歌劇堂。錫安山下清溪急，國會礁畔古道涼。避世能禪修慧智，振衣當選立雄岡。昔時歲月一塵在，我輩登臨四顧茫。從此仁者足所愛，歸來閱盡好風光。

　　　　七律·中秋 (2012.12)
　　　　一
風晚如冰松靜靜，霜晨似水月溶溶。佳節曾經想桂殿，約期不再憶蟾宮。一葉雲天晴初好，三秋稻熟酒方濃。重重關鎖飛華夢，默默相思付征鴻。
　　　　二
溫黃滿玉換秋寒，落葉流金送逝川。人有煩愁傷苦恨，事難至美好圓全。一夕癡想神仙夀，千古餘情記憶傳。若是佳期無逺念，當知此愛有前緣。

　　　　七律·秋夜記夢 (2012.12)
月光照岭松難寐，江海無眠浪不平。新幻轉頭成子夜，前塵迴閃入黎明。中宵起坐心驚夢，半世浮沉雨看晴。能與身邊聼共享，喃喃奇事語聲輕。

　　　　七律·四季雨 (2012.12)
急點敲窗驚凍骨，橫雲斷岭煮蒸池。润木無聲聲慢慢，留青有意意丝丝。天邊仙朵棉霞聚，海上風雷畫墨濕。萬象呈新霧散後，一江似碎雨來時。

　　　　七律·病中 (2013.11.7)
苦聽窗外影婆娑，恨夢池塘水漲波。月暗秋残人消瘦，风狂雨急病沉疴。但求有常陽光好，惟願無非世事磨。未去霧中尋霧曲，那得雲外響雲歌。

　　　　七律·冬晴 (2015.01.13)
如春雲海樹猶冬，似黛青山雪未融。漫舞南歸田上雁，孤飛北島海邊鴻。藏冰水色湖光湛，映綠枝條漿果紅。此季難得風光裡，心思不在作文中。

　　　　七律·夏威夷可愛島 (2017.11.16)
人生放任知何處，熱帶風光度假村。換季陰晴間快雨，排石濤浪透紗裙。白雲畫出藍天眼，綠島彎成碧海心。閑坐朝霞無所慮，彈唱晚照有諸琴。

　　　　七律·南岛绿色 (2019.12)
浓淡葱青湿暗墨，缤纷翠意阵叠排。湖光翡色蓝天影，海曲涛声浪抱怀。新绿方盈非雨至，夕霞只为有雲来。风中夏梦随花舞，雾里诗心待月猜。

　　　　七律·空留 (2020.8)
　　　　其一、讀咪咕空留《惜花芷》後
起自書香歸去隱，文可謀算武可兵。難得女子難得夢，稀世傳奇稀世情。愛在一心擔譭譽，家和萬里護安平。今時危難思良將，佑我民族代代興。
　　　　其二、讀《最佳词作》
橫流物慾羨新容，崖斷傳承讓惠聰。英雄歲月出偶像，偶像時空乏英雄。能平亂局直拳劍，不遜男兒徒手功。世故拋開睜眼闊，人情看透至心通。遍體鱗傷渾忘我，滿腔熱血盡酬公。烈烈五芒星路燦，威威兩代將旗紅。胸中大愛無極限，肩上擔當有始終。報國精神年少夢，強軍意志譽東風。

　　　　七律·赠周琳 (2020.11)
志向雲高敢问新，耽於正气胜胸襟。明唇秀影颜如梦，皓齿清眸语若琴。恩爱每多平淡处，传奇唯少是非心。双飞共守堪盟玉，一路相持可比金。

　　　　七律·残秋 (2020.11)
一阵秋风一阵寒，寒风阵阵到秋残。残秋残雨残花落，落暮落雲落叶繁。繁叶堆金成乱绪，绪思聚墨画前峦。峦前树色丘前谷，谷底溪声心底澜。
　　　　其二
难留晚照难留水，值此江河值此潮。棋世如繁如费解，人心似恨似無聊。功名大道疑成伪，言语非常乱必妖。形势风来情困窘，溪山雨落叶飘摇。




　　五言古诗三首

　　　　五言·夢醒 (2011.06.02)
夢里一抹痕，仿佛轻掩門。驚醒深深夜，不見枕邊人。
　　　　附周琳：夜醒記事 (2011.02)
春寒猶似冰，被暖久叮嚀。夜半人忽醒，梦中難記情。茫茫心事海，念念語聲輕。相伴十余载，不使我独行。

